A,B,C,D,Y
1769.835093555991,2268.128756360128,-226.29734976433176,-230.19853328759703,771.5566319746864
1667.354104883877,2170.0926115104935,-345.59758644450693,-335.35196187194464,666.0274446872146
1378.0076853964304,1877.9988631778488,-620.5144753564232,-619.5580592920355,378.8377114000179
909.6045894551157,1402.4801570139336,-1097.2046115536377,-1091.0664678277838,-92.6341577669429
1399.077356528333,1899.025057618343,-602.8660551973746,-600.959117314309,397.3605190387304
407.04073920050257,905.9632647420341,-1604.7661598292425,-1593.765112987053,-594.2423171062859
259.00100977585936,759.4803685596689,-1729.0602472637986,-1738.7125355264961,-738.8019497103468
1235.482973802416,1737.5499430068114,-758.03373041079,-768.0201699406368,232.97093692914754
899.3905702323093,1397.3511075896106,-1105.7165366637316,-1101.526416338212,-99.123557502848
1466.0165232877198,1965.372051990432,-532.7420056349156,-531.5017536423311,466.61869427083104
810.6303108349622,1305.4844583571637,-1208.9533949878835,-1192.5693764146183,-191.67773529916283
1160.2523767097002,1660.6418046779036,-825.7031331473664,-840.7120863638289,157.5157132148539
1492.0068689694497,1987.8949080263917,-504.2464544542197,-507.3384371621192,489.5449036187738
712.4715867675883,1210.6204546612432,-1295.8283675896857,-1288.4244544141245,-287.4580284808749
1495.424097580471,1992.6356380431728,-505.8392673655239,-504.4816815889229,495.6540604553128
1144.6286538005488,1647.2582450817872,-870.8871437299513,-856.245928207546,144.22966941452592
7.533733913706143,513.982892183069,-1980.6438696082569,-1991.3469823808773,-990.4561810439063
911.8739176562766,1401.981975873663,-1086.785118912205,-1091.0680650416489,-92.71082792978508
1468.533727690152,1966.5957061985976,-537.0256573593756,-532.86005831988,469.2980955787824
1297.9308546813052,1799.594905024519,-691.692195438418,-701.3818511251995,299.81964885417193
1822.8859897861666,2320.5481453522602,-190.7208316120333,-180.32999850516595,822.4100327589784
862.700512928708,1360.2466507867036,-1141.3407792168464,-1138.9814815631908,-137.00420155685603
1256.3819945705197,1761.0461977858693,-738.3263567996947,-743.0311655119962,257.5801174753797
1361.135818346589,1859.1216417230355,-662.9810692273235,-639.9525107977258,359.780557984294
1335.7469740043175,1835.625131798241,-665.9862618048685,-665.459912887449,335.58411353313596
862.9727285191084,1369.0762266257047,-1158.7186424030274,-1137.6592451488204,-137.62967382248976
242.01537354030103,740.6141550381757,-1761.9305269688473,-1757.9561493177732,-757.46401357828
1065.410521845649,1562.8162771655864,-931.9615637214484,-932.4578143252484,66.40672442456417
1869.9028135993237,2376.499379353681,-127.41545202431388,-129.58519341731417,870.4899618039036
1536.7819116078438,2031.3329615329678,-468.540300185261,-465.33453749939576,533.8705817501364
206.37876227975815,716.878568841758,-1795.0385836788494,-1791.7521803093632,-792.0258247612479
1076.1537140647977,1585.1146549377618,-918.5918379481973,-922.5640725183376,78.04230411984481
896.6524455694671,1401.979255001071,-1118.976608557287,-1102.2244450741864,-101.351589823661
392.1477935751136,894.0158977205813,-1598.538151787932,-1606.421354429787,-608.177675708858
1072.2875617467528,1568.4909851285431,-936.1522821148833,-930.8946980207851,70.09133396890209
741.2141649853666,1241.1164453173772,-1266.4457158051007,-1260.8602767966497,-260.4553441007456
1616.0680974016548,2103.8081708494155,-365.60367150489344,-385.01751756393617,615.4861244404788
869.7568141042992,1364.8789080066363,-1120.9520969233465,-1130.8560201303994,-129.37837542049536
1086.1223146031634,1584.7703546322466,-918.492035633413,-911.7110482112646,88.57228405168348
1039.7075942254544,1545.9766557453738,-959.2379387382888,-959.2915494382848,41.243230643752746
447.3577067883945,944.5433803166335,-1533.0274476197424,-1552.1945565440394,-552.1380771628766
305.55679958676905,794.7981283033491,-1688.844378527587,-1691.8091737818716,-693.2355200845931
